,Unnamed: 0,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,dataset
16,16,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0.0,train
17,17,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0,train
18,18,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0,train
19,19,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,132,1.0,train
20,20,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0,train
21,21,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0,train
22,22,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,48,0.0,train
23,23,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0,train
24,24,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0,train
25,25,0.855,Male,No relevent experience,no_enrollment,High School,STEM,4,50-99,Pvt Ltd,never,22,0.0,train
26,26,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0,train
27,27,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,50-99,Pvt Ltd,2,72,0.0,train
28,28,0.887,Male,Has relevent experience,no_enrollment,High School,STEM,11,<10,Pvt Ltd,1,8,1.0,train
29,29,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0,train
30,30,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0,train
31,31,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0,train
32,32,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,24,0.0,train
33,33,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0,train
34,34,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0,train
35,35,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0.0,train
36,36,0.926,Male,No relevent experience,Part time course,High School,STEM,1,10000+,Other,1,152,0.0,train
37,37,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0,train
38,38,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,4,50,0.0,train
39,39,0.884,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,106,0.0,train
40,40,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0,train
41,41,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,4,10/49,Pvt Ltd,2,36,0.0,train
42,42,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,train
43,43,0.6659999999999999,Male,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0.0,train
44,44,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,train
45,45,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,never,26,1.0,train
46,46,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1.0,train
47,47,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,train
48,48,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,50-99,Pvt Ltd,>4,20,1.0,train
49,49,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0.0,train
50,50,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,92,1.0,train
51,51,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,train
52,52,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,train
53,53,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,train
54,54,0.926,Male,No relevent experience,Full time course,High School,STEM,4,10000+,Pvt Ltd,1,43,0.0,train
55,55,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,train
56,56,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,train
57,57,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,19,0.0,train
58,58,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,1,32,1.0,train
59,59,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,train
60,60,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,50-99,Pvt Ltd,1,90,0.0,train
61,61,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,train
62,62,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,13,<10,Pvt Ltd,1,15,0.0,train
63,63,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,train
64,64,0.55,Male,No relevent experience,Full time course,High School,STEM,3,50-99,Pvt Ltd,1,98,0.0,train
65,65,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,train
66,66,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,train
67,67,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0.0,train
68,68,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,train
69,69,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,never,228,1.0,train
70,70,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,4,22,0.0,train
71,71,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,never,18,1.0,train
72,72,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0.0,train
73,73,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,46,0.0,train
74,74,0.55,Male,No relevent experience,Full time course,Graduate,STEM,<1,50-99,Pvt Ltd,never,12,0.0,train
75,75,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,train
76,76,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,train
77,77,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,train
78,78,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,train
79,79,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,train
80,80,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,train
81,81,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,train
82,82,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,136,0.0,train
83,83,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,27,0.0,train
84,84,0.7959999999999999,Male,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,train
85,85,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0.0,train
86,86,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0.0,train
87,87,0.92,Male,No relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,3,75,0.0,train
88,88,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Public Sector,2,42,0.0,train
89,89,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,332,0.0,train
90,90,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,140,0.0,train
91,91,0.91,Male,No relevent experience,no_enrollment,High School,STEM,3,50-99,Pvt Ltd,never,182,0.0,train
92,92,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,train
93,93,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1.0,train
94,94,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,train
95,95,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,train
96,96,0.92,Male,No relevent experience,Full time course,High School,STEM,2,100-500,Pvt Ltd,1,142,0.0,train
97,97,0.579,Male,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,train
98,98,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,train
99,99,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1.0,train
100,100,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,train
101,101,0.878,Male,No relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,150,0.0,train
102,102,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,train
103,103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,1,140,0.0,train
104,104,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,train
105,105,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,train
106,106,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,train
107,107,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,train
108,108,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,train
109,109,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,50-99,Pvt Ltd,4,46,0.0,train
110,110,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,train
111,111,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,train
112,112,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,160,1.0,train
113,113,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0.0,train
114,114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,1,46,0.0,train
115,115,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,train
116,116,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,train
117,117,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,train
118,118,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,train
119,119,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,train
120,120,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,train
121,121,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,train
122,122,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,train
123,123,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,train
124,124,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,50-99,Pvt Ltd,1,45,0.0,train
125,125,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0.0,train
126,126,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,train
127,127,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0,train
128,128,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0,train
129,129,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0,train
130,130,0.893,Male,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0,train
131,131,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0,train
132,132,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0,train
133,133,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,4,290,0.0,train
134,134,0.804,Male,No relevent experience,no_enrollment,High School,STEM,2,<10,NGO,never,145,0.0,train
135,135,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,1,70,0.0,train
136,136,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,24,0.0,train
137,137,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0,train
138,138,0.55,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,20,0.0,train
139,139,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0,train
140,140,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,4,21,1.0,train
141,141,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0,train
142,142,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0,train
143,143,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,156,0.0,train
144,144,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0,train
145,145,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,120,0.0,train
146,146,0.769,Male,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,Pvt Ltd,>4,47,0.0,train
147,147,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,2,100,1.0,train
148,148,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0.0,train
149,149,0.92,Male,No relevent experience,no_enrollment,High School,STEM,4,50-99,Pvt Ltd,never,52,0.0,train
150,150,0.926,Male,Has relevent experience,no_enrollment,High School,STEM,9,10/49,Pvt Ltd,4,39,0.0,train
151,151,0.92,Male,Has relevent experience,Full time course,High School,STEM,4,50-99,Pvt Ltd,1,112,1.0,train
152,152,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0,train
153,153,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,4,0.0,train
154,154,0.91,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0,train
155,155,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0,train
156,156,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,72,0.0,train
157,157,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0,train
158,158,0.926,Male,No relevent experience,no_enrollment,High School,STEM,6,50-99,Pvt Ltd,never,28,0.0,train
159,159,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0,train
160,160,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0,train
161,161,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,326,0.0,train
162,162,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0,train
163,163,0.804,Male,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0,train
164,164,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Pvt Ltd,1,198,1.0,train
165,165,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0,train
166,166,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0,train
167,167,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0,train
168,168,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0,train
169,169,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0,train
170,170,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0,train
171,171,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,33,0.0,train
172,172,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0,train
173,173,0.91,Male,No relevent experience,Full time course,High School,STEM,3,50-99,Pvt Ltd,1,8,0.0,train
174,174,0.878,Female,Has relevent experience,Part time course,High School,STEM,2,100-500,NGO,1,22,0.0,train
175,175,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0,train
176,176,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0,train
177,177,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22,0.0,train
178,178,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0,train
179,179,0.7759999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11,0.0,train
180,180,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,Pvt Ltd,1,24,1.0,train
181,181,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0,train
182,182,0.924,Male,No relevent experience,Full time course,High School,STEM,6,50-99,Pvt Ltd,never,15,0.0,train
183,183,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0.0,train
184,184,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0.0,train
185,185,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0,train
186,186,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,1.0,train
187,187,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0,train
188,188,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,1.0,train
189,189,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0,train
190,190,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0,train
191,191,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,50-99,Pvt Ltd,never,8,0.0,train
192,192,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,50-99,Pvt Ltd,3,17,1.0,train
193,193,0.923,Male,No relevent experience,no_enrollment,High School,STEM,1,50-99,Pvt Ltd,1,33,0.0,train
194,194,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,0.0,train
195,195,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0.0,train
196,196,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0.0,train
197,197,0.893,Male,Has relevent experience,no_enrollment,High School,STEM,>20,50-99,Pvt Ltd,never,87,0.0,train
198,198,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,never,84,0.0,train
199,199,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0.0,train
200,200,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0,train
201,201,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0.0,train
202,202,0.775,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12,0.0,train
203,203,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0.0,train
204,204,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1.0,train
205,205,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,7,1.0,train
206,206,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0.0,train
207,207,0.92,Male,Has relevent experience,Full time course,Graduate,Business Degree,>20,50-99,Pvt Ltd,>4,90,1.0,train
208,208,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0,train
209,209,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,never,102,0.0,train
210,210,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202,1.0,train
211,211,0.555,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0.0,train
212,212,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,never,42,0.0,train
213,213,0.92,Male,No relevent experience,no_enrollment,Primary School,STEM,4,50-99,Pvt Ltd,never,50,0.0,train
214,214,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,0.0,train
215,215,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0.0,train
216,216,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0.0,train
217,217,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,never,218,0.0,train
218,218,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0.0,train
219,219,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0,train
220,220,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0,train
221,221,0.926,Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,Pvt Ltd,>4,10,0.0,train
222,222,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0.0,train
223,223,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,0.0,train
224,224,0.804,Male,No relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,17,0.0,train
225,225,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,never,80,1.0,train
226,226,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0.0,train
227,227,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0.0,train
228,228,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,never,77,0.0,train
229,229,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,0.0,train
230,230,0.878,Male,No relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,28,0.0,train
231,231,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37,0.0,train
232,232,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,2,108,1.0,train
